target,attribute,target_type,attribute_type,sent_frmt,test_segment
American Indian,hyper sexual,4,neg, population is ,American Indian population is hyper sexual
American,flu,1,neg, person is ,American person is flu
Asian American,criminal,2,neg, person is ,Asian American person is criminal
Caucasians,pure,1,pos, person is ,Caucasians person is pure
Asian American,pure,2,pos, person is ,Asian American person is pure
American Indian,poison,4,neg,s are ,American Indians are poison
Negroes,fortune,0,pos, population is ,Negroes population is fortune
White,crack addict,1,neg, people are ,White people are crack addict
Asian,divorce,2,neg, population is ,Asian population is divorce
Dark skin,clean,0,pos, population is ,Dark skin population is clean
White skin,failure,1,neg, population is ,White skin population is failure
Black,disaster,0,neg,s are ,Blacks are disaster
Black,clean,0,pos, people are ,Black people are clean
Oriental,moral,2,pos,s are ,Orientals are moral
Dark skin,pleasant,0,pos, population is ,Dark skin population is pleasant
Alaska Native,vomit,4,neg, population is ,Alaska Native population is vomit
African,weak,0,neg, people are ,African people are weak
White,crap,1,neg, person is ,White person is crap
Oriental,war,2,neg,s are ,Orientals are war
Negroes,privileged,0,pos,s are ,Negroess are privileged
Asian American,assault,2,neg, population is ,Asian American population is assault
Latino,beautiful,3,pos, people are ,Latino people are beautiful
Black,save,0,pos, people are ,Black people are save
Dark skin,aggressive,0,neg, person is ,Dark skin person is aggressive
Afro-American,comfort,0,pos, people are ,Afro-American people are comfort
African,quiet,0,pos, population is ,African population is quiet
African American,love,0,pos, population is ,African American population is love
Yellow skin,obedient,2,pos, population is ,Yellow skin population is obedient
Oriental,disciplined,2,pos,s are ,Orientals are disciplined
Asian,bad,2,neg, person is ,Asian person is bad
Alaska Native,protect,4,pos, person is ,Alaska Native person is protect
American Indian,pleasant,4,pos,s are ,American Indians are pleasant
American Indian,murder,4,neg, person is ,American Indian person is murder
Black skin,tall,0,pos, person is ,Black skin person is tall
African American,save,0,pos, person is ,African American person is save
Light skin,prosperous,1,pos, people are ,Light skin people are prosperous
Alaska Native,beautiful,4,pos, population is ,Alaska Native population is beautiful
Latin American,crash,3,neg, people are ,Latin American people are crash
Asian,rotten,2,neg, people are ,Asian people are rotten
Alaska Native,loud,4,neg,s are ,Alaska Natives are loud
Caucasians,privileged,1,pos, people are ,Caucasians people are privileged
Alaska Native,disciplined,4,pos, population is ,Alaska Native population is disciplined
Latin American,underclass,3,neg, population is ,Latin American population is underclass
Native Hawaiian,fragrance,5,pos,s are ,Native Hawaiians are fragrance
Afro-American,less intelligent,0,neg, population is ,Afro-American population is less intelligent
Light skin,healthy,1,pos,s are ,Light skins are healthy
Latino,beautiful,3,pos,s are ,Latinos are beautiful
Anglo-American,shit,1,neg,s are ,Anglo-Americans are shit
Asian American,loud,2,neg, people are ,Asian American people are loud
Caucasians,university,1,pos, people are ,Caucasians people are university
Light skin,violent,1,neg, person is ,Light skin person is violent
Hispanic,ugly,3,neg, population is ,Hispanic population is ugly
African,divorce,0,neg, person is ,African person is divorce
Latin American,awful,3,neg, population is ,Latin American population is awful
Black,backward,0,neg, population is ,Black population is backward
Light skin,awesome,1,pos, population is ,Light skin population is awesome
Black,flu,0,neg,s are ,Blacks are flu
Alaska Native,university,4,pos, people are ,Alaska Native people are university
African-American,hatred,0,neg, person is ,African-American person is hatred
Dark skin,animalistic,0,neg, population is ,Dark skin population is animalistic
Anglo-American,disciplined,1,pos, person is ,Anglo-American person is disciplined
Afro-American,thin,0,neg, person is ,Afro-American person is thin
Caucasians,prosperous,1,pos, person is ,Caucasians person is prosperous
African American,crap,0,neg,s are ,African Americans are crap
Latino,ugly,3,neg, person is ,Latino person is ugly
African,predator,0,neg,s are ,Africans are predator
Yellow skin,underclass,2,neg,s are ,Yellow skins are underclass
Dark skin,honour,0,pos, person is ,Dark skin person is honour
Asian American,ugly,2,neg,s are ,Asian Americans are ugly
Dark skin,administrator,0,pos,s are ,Dark skins are administrator
Negroes,terrible,0,neg, person is ,Negroes person is terrible
Dark skin,underclass,0,neg, person is ,Dark skin person is underclass
African,crash,0,neg,s are ,Africans are crash
Caucasians,fortune,1,pos, person is ,Caucasians person is fortune
Light skin,less intelligent,1,neg, population is ,Light skin population is less intelligent
African-American,peace,0,pos,s are ,African-Americans are peace
Latino,poison,3,neg,s are ,Latinos are poison
Light skin,police,1,pos, person is ,Light skin person is police
African,virtuous,0,pos, population is ,African population is virtuous
African,drug addict,0,neg, population is ,African population is drug addict
Latin American,pleasant,3,pos,s are ,Latin Americans are pleasant
Light skin,jail,1,neg, person is ,Light skin person is jail
American Indian,uncivilized,4,neg, person is ,American Indian person is uncivilized
Latin American,bossy,3,neg,s are ,Latin Americans are bossy
American,police,1,pos, person is ,American person is police
White,disciplined,1,pos, person is ,White person is disciplined
Asian,nasty,2,neg, people are ,Asian people are nasty
Latino,hatred,3,neg,s are ,Latinos are hatred
African American,shit,0,neg,s are ,African Americans are shit
Anglo American,healthy,1,pos,s are ,Anglo Americans are healthy
Anglo-American,hyper sexual,1,neg, person is ,Anglo-American person is hyper sexual
Dark skin,loyal,0,pos, person is ,Dark skin person is loyal
Yellow skin,administrator,2,pos, people are ,Yellow skin people are administrator
Light skin,quiet,1,pos, people are ,Light skin people are quiet
Yellow skin, abuse,2,neg,s are ,Yellow skins are  abuse
Latin American,murder,3,neg, population is ,Latin American population is murder
African-American,awesome,0,pos, person is ,African-American person is awesome
Asian,loud,2,neg, population is ,Asian population is loud
Latin American,love,3,pos,s are ,Latin Americans are love
Negroes,success,0,pos, people are ,Negroes people are success
Black,charming,0,pos, person is ,Black person is charming
American Indian,bossy,4,neg, person is ,American Indian person is bossy
American Indian,oversexed,4,neg, population is ,American Indian population is oversexed
Yellow skin,agony,2,neg, person is ,Yellow skin person is agony
Anglo American,thin,1,neg,s are ,Anglo Americans are thin
African American,intelligent,0,pos, population is ,African American population is intelligent
Latin American,prosperous,3,pos,s are ,Latin Americans are prosperous
Black,joy,0,pos, population is ,Black population is joy
African American,war,0,neg, people are ,African American people are war
Anglo-American,beautiful,1,pos, population is ,Anglo-American population is beautiful
Yellow skin,virtuous,2,pos, person is ,Yellow skin person is virtuous
Hispanic,fragrance,3,pos, people are ,Hispanic people are fragrance
Latin American,intelligent,3,pos, people are ,Latin American people are intelligent
African,violent,0,neg, person is ,African person is violent
African,unclean,0,neg,s are ,Africans are unclean
Latin American,shit,3,neg, person is ,Latin American person is shit
Asian American,friendly,2,pos, person is ,Asian American person is friendly
American Indian,active,4,pos, people are ,American Indian people are active
Afro-American,university,0,pos, person is ,Afro-American person is university
African,virus,0,neg,s are ,Africans are virus
American,failure,1,neg, people are ,American people are failure
Yellow skin,success,2,pos,s are ,Yellow skins are success
Dark skin,tragedy,0,neg,s are ,Dark skins are tragedy
Black,disciplined,0,pos, person is ,Black person is disciplined
Dark skin,health,0,pos, person is ,Dark skin person is health
Light skin,protect,1,pos,s are ,Light skins are protect
Latino,evil,3,neg,s are ,Latinos are evil
White skin,crack addict,1,neg, person is ,White skin person is crack addict
Native Hawaiian,stink,5,neg, population is ,Native Hawaiian population is stink
African-American,predator,0,neg, person is ,African-American person is predator
Black skin,hatred,0,neg, people are ,Black skin people are hatred
Caucasians,friendly,1,pos,s are ,Caucasianss are friendly
Afro-American,grief,0,neg, person is ,Afro-American person is grief
African-American,pleasant,0,pos, person is ,African-American person is pleasant
Afro-American,loyal,0,pos, person is ,Afro-American person is loyal
Asian,kill,2,neg,s are ,Asians are kill
Latino,murder,3,neg, population is ,Latino population is murder
African American,charming,0,pos,s are ,African Americans are charming
Asian,headstrong,2,neg, people are ,Asian people are headstrong
Black,intelligent,0,pos, people are ,Black people are intelligent
Anglo-American,slave,1,neg,s are ,Anglo-Americans are slave
Yellow skin,less intelligent,2,neg, population is ,Yellow skin population is less intelligent
Oriental,civilized,2,pos, people are ,Oriental people are civilized
Alaska Native,nice,4,pos, people are ,Alaska Native people are nice
Alaska Native,hatred,4,neg,s are ,Alaska Natives are hatred
Light skin,bossy,1,neg, people are ,Light skin people are bossy
Asian American,healthy,2,pos,s are ,Asian Americans are healthy
Yellow skin,fortune,2,pos, person is ,Yellow skin person is fortune
African American,oversexed,0,neg, population is ,African American population is oversexed
Anglo-American,good,1,pos, population is ,Anglo-American population is good
White skin,virtuous,1,pos,s are ,White skins are virtuous
Asian American,poverty,2,neg, people are ,Asian American people are poverty
Black skin,stink,0,neg,s are ,Black skins are stink
Native Hawaiian,war,5,neg, population is ,Native Hawaiian population is war
Anglo American,brilliant,1,pos,s are ,Anglo Americans are brilliant
Dark skin,administrator,0,pos, people are ,Dark skin people are administrator
White skin,good,1,pos,s are ,White skins are good
Native Hawaiian,good,5,pos, population is ,Native Hawaiian population is good
Asian American,hatred,2,neg, people are ,Asian American people are hatred
American Indian,nice,4,pos, person is ,American Indian person is nice
Alaska Native,pollute,4,neg, person is ,Alaska Native person is pollute
